name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Tablet of Discovery,{2}{R},3.0,Artifact,"When this artifact enters, mill a card. You may play that card this turn. (To mill a card, put the top card of your library into your graveyard.)
{T}: Add {R}.
{T}: Add {R}{R}. Spend this mana only to cast instant and sorcery spells.",R,R,uncommon,SOS,Secrets of Strixhaven,132,,,,R,Mill,mill;ramp,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Tangle Tumbler,{3},3.0,Artifact — Vehicle,"Vigilance
{3}, {T}: Put a +1/+1 counter on target creature.
Tap two untapped tokens you control: This Vehicle becomes an artifact creature until end of turn.",,,uncommon,BLB,Bloomburrow,250,6,6,,,Vigilance,pump;token;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Tarrian's Journal // The Tomb of Aclazotz,,2.0,Legendary Artifact — Book // Legendary Land — Cave,,,B,rare,LCI,The Lost Caverns of Ixalan,371,,,,B,Transform,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Tarrian's Soulcleaver,{1},1.0,Legendary Artifact — Equipment,"Equipped creature has vigilance.
Whenever another artifact or creature is put into a graveyard from the battlefield, put a +1/+1 counter on equipped creature.
Equip {2}",,,rare,SLD,Secret Lair Drop,2224,,,,,Equip,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Temur Monument,{2},2.0,Artifact,"When this artifact enters, search your library for a basic Forest, Island, or Mountain card, reveal it, put it into your hand, then shuffle.
{3}{G}{U}{R}, {T}, Sacrifice this artifact: Create a 5/5 green Elephant creature token. Activate only as a sorcery.",,"G,R,U",uncommon,TDM,Tarkir: Dragonstorm,248,,,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Territory Forge,{4}{R},5.0,Artifact,"When this artifact enters, if you cast it, exile target artifact or land.
This artifact has all activated abilities of the exiled card.",R,R,mythic,BIG,The Big Score,45,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Thaumaton Torpedo,{1},1.0,Artifact,"{6}, {T}, Sacrifice this artifact: Destroy target nonland permanent. This ability costs {3} less to activate if you attacked with a Spacecraft this turn.",,,common,EOE,Edge of Eternities,246,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
The Aetherspark,{4},4.0,Legendary Artifact Planeswalker — Equipment,"As long as The Aetherspark is attached to a creature, The Aetherspark can't be attacked and has ""Whenever equipped creature deals combat damage during your turn, put that many loyalty counters on The Aetherspark.""
+1: Attach The Aetherspark to up to one target creature you control. Put a +1/+1 counter on that creature.
−5: Draw two cards.
−10: Add ten mana of any one color.",,,mythic,DFT,Aetherdrift,231,,,4,"B,G,R,U,W",,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
The Belligerent,{2}{U}{R},4.0,Legendary Artifact — Vehicle,"Whenever The Belligerent attacks, create a Treasure token. Until end of turn, you may look at the top card of your library any time, and you may play lands and cast spells from the top of your library.
Crew 3","R,U","R,U",rare,LCI,The Lost Caverns of Ixalan,225,5,5,,,Treasure;Crew,mill;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
The Darkness Crystal,{2}{B}{B},4.0,Legendary Artifact,"Black spells you cast cost {1} less to cast.
If a nontoken creature an opponent controls would die, instead exile it and you gain 2 life.
{4}{B}{B}, {T}: Put target creature card exiled with The Darkness Crystal onto the battlefield tapped under your control with two additional +1/+1 counters on it.",B,B,rare,FIN,Final Fantasy,96,,,,,,lifegain;pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
