name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
"Lady Octopus, Inspired Inventor",{U},1.0,Legendary Creature — Human Scientist Villain,"Whenever you draw your first or second card each turn, put an ingenuity counter on Lady Octopus.
{T}: You may cast an artifact spell from your hand with mana value less than or equal to the number of ingenuity counters on Lady Octopus without paying its mana cost.",U,U,rare,SPM,Marvel's Spider-Man,252,0,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lady of Laughter,{3}{W}{W},5.0,Creature — Faerie Noble,"Flying
Celebration — At the beginning of your end step, if two or more nonland permanents entered the battlefield under your control this turn, draw a card.",W,W,rare,WOE,Wilds of Eldraine,370,4,5,,,Flying;Celebration,draw;flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Lagorin, Soul of Alacria",{G}{W},2.0,Legendary Creature — Beast Mount,"Flying
Whenever Lagorin attacks while saddled, put a +1/+1 counter on each of up to two target Mounts and/or Vehicles.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)","G,W","G,W",uncommon,DFT,Aetherdrift,211,1,1,,,Flying;Saddle,flying;pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lamplight Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying
When this creature dies, you may exile it and collect evidence 4. If you do, return this card to the battlefield tapped. (To collect evidence 4, exile cards with total mana value 4 or greater from your graveyard.)",R,R,rare,MKM,Murders at Karlov Manor,137,3,3,,,Flying;Collect evidence,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Landscape Painter // Vibrant Idea,{1}{U} // {4}{U},2.0,Creature — Merfolk Wizard // Sorcery,,U,U,common,SOS,Secrets of Strixhaven,56,2,1,,,Prepared,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lashwhip Predator,{4}{G}{G},6.0,Creature — Plant Beast,"This spell costs {2} less to cast if your opponents control three or more creatures.
Reach",G,G,uncommon,EOE,Edge of Eternities,195,5,7,,,Reach,reach,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lasyd Prowler,{2}{G}{G},4.0,Creature — Snake Ranger,"When this creature enters, you may mill cards equal to the number of lands you control.
Renew — {1}{G}, Exile this card from your graveyard: Put X +1/+1 counters on target creature, where X is the number of land cards in your graveyard. Activate only as a sorcery.",G,G,rare,TDM,Tarkir: Dragonstorm,348,5,5,,,Renew;Mill,mill;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,TDC,Tarkir: Dragonstorm Commander,219,6,6,,,Flying,flying;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Lathril, Blade of the Elves",{2}{B}{G},4.0,Legendary Creature — Elf Noble,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","B,G","B,G",rare,PFDN,Foundations Promos,242s,2,3,,,Menace,lifegain;menace;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Laughing Jasper Flint,{1}{B}{R},3.0,Legendary Creature — Lizard Rogue,"Creatures you control but don't own are Mercenaries in addition to their other types.
At the beginning of your upkeep, exile the top X cards of target opponent's library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.","B,R","B,R",rare,SLP,Secret Lair Promo,44,4,3,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Lavaleaper,{3}{R},4.0,Creature — Elemental,"All creatures have haste.
Whenever a player taps a basic land for mana, that player adds one mana of any type that land produced.",R,R,rare,ECL,Lorwyn Eclipsed,318,4,4,,"B,G,R,U,W",,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Lazav, Familiar Stranger",{1}{U}{B},3.0,Legendary Creature — Shapeshifter,"Whenever you commit a crime, put a +1/+1 counter on Lazav. Then you may exile a card from a graveyard. If a creature card was exiled this way, you may have Lazav become a copy of that card until end of turn. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)","B,U","B,U",uncommon,OTJ,Outlaws of Thunder Junction,216,1,4,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Lazav, Wearer of Faces",{U}{B},2.0,Legendary Creature — Shapeshifter Detective,"Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn.","B,U","B,U",rare,PMKM,Murders at Karlov Manor Promos,216p,2,3,,,Investigate,draw;removal;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Leatherhead, Swamp Stalker",{2}{G}{G},4.0,Legendary Creature — Crocodile Mutant Rogue,"Trample
Leatherhead enters with a hexproof counter on her.
Whenever Leatherhead deals combat damage to a player, you may remove a counter from her. When you do, destroy target artifact or enchantment that player controls.",G,G,rare,TMT,Teenage Mutant Ninja Turtles,272,5,4,,,Trample,protection;removal;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lecturing Scornmage,{B},1.0,Creature — Human Warlock,"Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on this creature.",B,B,uncommon,SOS,Secrets of Strixhaven,87,1,1,,,Repartee,pump,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Leech Collector // Bloodletting,{1}{B} // {B},2.0,Creature — Human Warlock // Sorcery,,B,B,uncommon,SOS,Secrets of Strixhaven,88,2,2,,,Prepared,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Leering Onlooker,{1}{B},2.0,Creature — Vampire,"Flying
{2}{B}{B}, Exile this card from your graveyard: Create two tapped 1/1 black Bat creature tokens with flying.",B,B,uncommon,MKM,Murders at Karlov Manor,91,1,3,,,Flying,flying;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Leonardo, Big Brother",{2}{W},3.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {W} (You may cast this spell for {W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
Leonardo gets +1/+0 for each other creature you control.",W,W,common,TMT,Teenage Mutant Ninja Turtles,14,1,3,,,Sneak,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Leonardo, Cutting Edge",{1}{W},2.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {W} (You may cast this spell for {W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
Lifelink
Whenever you gain life, put a +1/+1 counter on Leonardo.",W,W,mythic,TMT,Teenage Mutant Ninja Turtles,281,1,1,,,Lifelink;Sneak,lifegain;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Leonardo, Leader in Blue",{W},1.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {3}{W}{W} (You may cast this spell for {3}{W}{W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
When Leonardo enters, if his sneak cost was paid, creatures you control get +2/+0 until end of turn.
{1}{W}: Leonardo gains first strike until end of turn.",W,W,uncommon,TMT,Teenage Mutant Ninja Turtles,196,2,1,,,Sneak,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Leonardo, Sewer Samurai",{3}{W},4.0,Legendary Creature — Mutant Ninja Turtle Samurai,"Sneak {2}{W}{W}
Double strike
During your turn, you may cast creature spells with power or toughness 1 or less from your graveyard. If you cast a spell this way, that creature enters with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.)",W,W,mythic,TMT,Teenage Mutant Ninja Turtles,17,3,3,,,Double strike;Sneak,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Leonin Skyhunter,{W}{W},2.0,Creature — Cat Knight,Flying,W,W,uncommon,9ED,Ninth Edition,25,2,2,,,Flying,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel,predh"
Leonin Surveyor,{1}{W},2.0,Creature — Cat Scout,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
During your turn, this creature has first strike.
Max speed — {3}, Exile this card from your graveyard: Draw a card.",W,W,common,DFT,Aetherdrift,18,2,2,,,Max speed;Start your engines!,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
