name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
"Kaervek, the Punisher",{1}{B}{B},3.0,Legendary Creature — Human Warlock,"Whenever you commit a crime, exile up to one target black card from your graveyard and copy it. You may cast the copy. If you do, you lose 2 life. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime. Copies of permanent spells become tokens.)",B,B,rare,POTJ,Outlaws of Thunder Junction Promos,92p,3,3,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Kain, Traitorous Dragoon",{2}{B},3.0,Legendary Creature — Human Knight,"Jump — During your turn, Kain has flying.
Whenever Kain deals combat damage to a player, that player gains control of Kain. If they do, you draw that many cards, create that many tapped Treasure tokens, then lose that much life.",B,B,rare,FIN,Final Fantasy,449,2,4,,,Jump;Treasure,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Kalakscion, Hunger Tyrant",{1}{B}{B},3.0,Legendary Creature — Crocodile,,B,B,uncommon,DFT,Aetherdrift,93,7,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Kalastria Highborn,{B}{B},2.0,Creature — Vampire Shaman,"Whenever this creature or another Vampire you control dies, you may pay {B}. If you do, target player loses 2 life and you gain 2 life.",B,B,rare,FDN,Foundations,607,2,2,,,,lifegain;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
"Kambal, Profiteering Mayor",{1}{W}{B},3.0,Legendary Creature — Human Advisor,"Whenever one or more tokens your opponents control enter, for each of them, create a tapped token that's a copy of it. This ability triggers only once each turn.
Whenever one or more tokens you control enter, each opponent loses 1 life and you gain 1 life.","B,W","B,W",rare,POTJ,Outlaws of Thunder Junction Promos,211s,2,4,,,,lifegain;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Karai, Future of the Foot",{1}{W}{B},3.0,Legendary Creature — Human Ninja,"Sneak {2}{W}{B} (You may cast this spell for {2}{W}{B} if you also return an unblocked attacker you control to hand during the declare blockers step. She enters tapped and attacking.)
Whenever Karai deals combat damage to a player, return target creature card from your graveyard to your hand. If her sneak cost was paid this turn, instead return that card to the battlefield.","B,W","B,W",uncommon,TMT,Teenage Mutant Ninja Turtles,151,3,3,,,Sneak,bounce;reanimation,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Karakyk Guardian,{3}{G}{U}{R},6.0,Creature — Dragon,"Flying, vigilance, trample
This creature has hexproof if it hasn't dealt damage yet. (It can't be the target of spells or abilities your opponents control.)","G,R,U","G,R,U",uncommon,TDM,Tarkir: Dragonstorm,312,6,5,,,Flying;Vigilance;Trample,flying;protection;trample;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Kargan Dragonrider,{1}{R},2.0,Creature — Human Warrior,"As long as you control a Dragon, this creature has flying.",R,R,common,J22,Jumpstart 2022,561,2,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Karlov Watchdog,{3}{W},4.0,Creature — Dog,"Vigilance
Permanents your opponents control can't be turned face up during your turn.
Whenever you attack with three or more creatures, creatures you control get +1/+1 until end of turn.",W,W,uncommon,MKM,Murders at Karlov Manor,20,3,2,,,Vigilance,tribal;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Kaslem's Stonetree // Kaslem's Strider,,3.0,Artifact // Artifact Creature — Golem,,,G,common,LCI,The Lost Caverns of Ixalan,197,,,,,Craft;Transform,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
"Kastral, the Windcrested",{3}{W}{U},5.0,Legendary Creature — Bird Scout,"Flying
Whenever one or more Birds you control deal combat damage to a player, choose one —
• You may put a Bird creature card from your hand or graveyard onto the battlefield with a finality counter on it.
• Put a +1/+1 counter on each Bird you control.
• Draw a card.","U,W","U,W",rare,PBLB,Bloomburrow Promos,221s,4,5,,,Flying,draw;flying;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Katara, Bending Prodigy",{2}{U},3.0,Legendary Creature — Human Warrior Ally,"At the beginning of your end step, if Katara is tapped, put a +1/+1 counter on her.
Waterbend {6}: Draw a card. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",U,U,uncommon,TLA,Avatar: The Last Airbender,59,2,3,,,Waterbend,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Katara, the Fearless",{G}{W}{U},3.0,Legendary Creature — Human Warrior Ally,"If a triggered ability of an Ally you control triggers, that ability triggers an additional time.","G,U,W","G,U,W",rare,TLA,Avatar: The Last Airbender,361,3,3,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Katara, Water Tribe's Hope",{2}{W}{U}{U},5.0,Legendary Creature — Human Warrior Ally,"Vigilance
When Katara enters, create a 1/1 white Ally creature token.
Waterbend {X}: Creatures you control have base power and toughness X/X until end of turn. X can't be 0. Activate only during your turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)","U,W","U,W",rare,PTLA,Avatar: The Last Airbender Promos,231s,3,3,,,Vigilance;Waterbend,token;tribal;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Kav Landseeker,{3}{R},4.0,Creature — Kavu Soldier,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature enters, create a Lander token. At the beginning of the end step on your next turn, sacrifice that token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",R,R,common,EOE,Edge of Eternities,138,4,3,,,Menace,menace;ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Kavaron Harrier,{R},1.0,Artifact Creature — Robot Soldier,"Whenever this creature attacks, you may pay {2}. If you do, create a 2/2 colorless Robot artifact creature token that's tapped and attacking. Sacrifice that token at end of combat.",R,R,uncommon,EOE,Edge of Eternities,139,2,1,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Kavaron Skywarden,{4}{R},5.0,Creature — Kavu Soldier,"Reach
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, put a +1/+1 counter on this creature.",R,R,common,EOE,Edge of Eternities,140,4,5,,,Reach;Void,pump;reach,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Kavaron Turbodrone,{2}{R},3.0,Artifact Creature — Robot Scout,{T}: Target creature you control gets +1/+1 and gains haste until end of turn. Activate only as a sorcery.,R,R,common,EOE,Edge of Eternities,141,2,3,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Keen Buccaneer,{2}{U},3.0,Creature — Octopus Pirate,"Vigilance
Exhaust — {1}{U}: Draw a card, then discard a card. Put a +1/+1 counter on this creature. (Activate each exhaust ability only once.)",U,U,common,DFT,Aetherdrift,48,2,3,,,Vigilance;Exhaust,draw;pump;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Keen-Eyed Curator,{G}{G},2.0,Creature — Raccoon Scout,"As long as there are four or more card types among cards exiled with this creature, it gets +4/+4 and has trample.
{1}: Exile target card from a graveyard.",G,G,rare,BLB,Bloomburrow,322,3,3,,,,pump;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Kefka, Court Mage // Kefka, Ruler of Ruin",,5.0,Legendary Creature — Human Wizard // Legendary Creature — Avatar Wizard,,,"B,R,U",mythic,FIN,Final Fantasy,496,,,,,Flying;Transform,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Kellan, Daring Traveler // Journey On",{1}{W} // {G},2.0,Legendary Creature — Human Faerie Scout // Sorcery — Adventure,,W,"G,W",rare,LCI,The Lost Caverns of Ixalan,231,2,3,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Kellan, Inquisitive Prodigy // Tail the Suspect",{2}{G}{U} // {G}{U},4.0,Legendary Creature — Human Faerie Detective // Sorcery — Adventure,,"G,U","G,U",rare,PMKM,Murders at Karlov Manor Promos,212s,3,4,,,Flying;Investigate;Vigilance,flying;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Kellan, Planar Trailblazer",{R},1.0,Legendary Creature — Human Faerie Scout,"{1}{R}: If Kellan is a Scout, it becomes a Human Faerie Detective and gains ""Whenever Kellan deals combat damage to a player, exile the top card of your library. You may play that card this turn.""
{2}{R}: If Kellan is a Detective, it becomes a 3/2 Human Faerie Rogue and gains double strike.",R,R,rare,FDN,Foundations,330,2,1,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Kellan, the Fae-Blooded // Birthright Boon",{2}{R} // {1}{W},3.0,Legendary Creature — Human Faerie // Sorcery — Adventure,,R,"R,W",mythic,PWOE,Wilds of Eldraine Promos,230s,2,2,,,Double strike,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
