name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Calamitous Cave-In,{3}{R},4.0,Sorcery,"Calamitous Cave-In deals X damage to each creature and each planeswalker, where X is the number of Caves you control plus the number of Cave cards in your graveyard.",R,R,uncommon,LCI,The Lost Caverns of Ixalan,139,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Calamitous Tide,{4}{U}{U},6.0,Sorcery,"Return up to two target creatures to their owners' hands. Draw two cards, then discard a card.",U,U,uncommon,BLB,Bloomburrow,43,,,,,,bounce;draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Call a Surprise Witness,{1}{W},2.0,Sorcery,Return target creature card with mana value 3 or less from your graveyard to the battlefield. Put a flying counter on it. It's a Spirit in addition to its other types.,W,W,uncommon,MKM,Murders at Karlov Manor,289,,,,,,bounce;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Call the Mountain Chocobo,{3}{R},4.0,Sorcery,"Search your library for a Mountain card, reveal it, put it into your hand, then shuffle. Create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn.""
Flashback {5}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,common,FIN,Final Fantasy,131,,,,,Flashback,flash;pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Cathartic Parting,{1}{G},2.0,Sorcery,The owner of target artifact or enchantment an opponent controls shuffles it into their library. You may shuffle up to four target cards from your graveyard into your library.,G,G,uncommon,DSK,Duskmourn: House of Horror,171,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Celestial Reunion,{X}{G},1.0,Sorcery,"As an additional cost to cast this spell, you may choose a creature type and behold two creatures of that type.
Search your library for a creature card with mana value X or less, reveal it, put it into your hand, then shuffle. If this spell's additional cost was paid and the revealed card is the chosen type, put that card onto the battlefield instead of putting it into your hand.",G,G,mythic,PECL,Lorwyn Eclipsed Promos,170p,,,,,Behold,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Cemetery Recruitment,{1}{B},2.0,Sorcery,"Return target creature card from your graveyard to your hand. If it's a Zombie card, draw a card.",B,B,common,FDN,Foundations,517,,,,,,bounce;draw;reanimation,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Cerebral Confiscation,{2}{B},3.0,Sorcery,"Choose one —
• Target opponent discards two cards.
• Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.",B,B,common,MKM,Murders at Karlov Manor,81,,,,,,discard,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Channeled Dragonfire,{R},1.0,Sorcery,"Channeled Dragonfire deals 2 damage to any target.
Harmonize {5}{R}{R} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by {X}, where X is its power. Then exile this spell.)",R,R,uncommon,TDM,Tarkir: Dragonstorm,102,,,,,Harmonize,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Chart a Course,{1}{U},2.0,Sorcery,Draw two cards. Then discard a card unless you attacked this turn.,U,U,uncommon,JMP,Jumpstart,142,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
