name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Tackle Artist,{3}{R},4.0,Creature — Orc Sorcerer,"Trample
Opus — Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature. If five or more mana was spent to cast that spell, put two +1/+1 counters on this creature instead.",R,R,common,SOS,Secrets of Strixhaven,133,4,3,,,Trample;Opus,pump;trample,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Taigam, Master Opportunist",{1}{U},2.0,Legendary Creature — Human Monk,"Flurry — Whenever you cast your second spell each turn, copy it, then exile the spell you cast with four time counters on it. If it doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, they remove a time counter. When the last is removed, they may play it without paying its mana cost. If it's a creature, it has haste.)",U,U,mythic,TDM,Tarkir: Dragonstorm,335,2,2,,,Flurry,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Taii Wakeen, Perfect Shot",{R}{W},2.0,Legendary Creature — Human Mercenary,"Whenever a source you control deals noncombat damage to a creature equal to that creature's toughness, draw a card.
{X}, {T}: If a source you control would deal noncombat damage to a permanent or player this turn, it deals that much damage plus X instead.","R,W","R,W",rare,OTJ,Outlaws of Thunder Junction,234,2,3,,,,draw;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Tajuru Pathwarden,{4}{G},5.0,Creature — Elf Warrior Ally,"Vigilance (Attacking doesn't cause this creature to tap.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,J21,Jumpstart: Historic Horizons,650,5,4,,,Vigilance;Trample,trample;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Talion's Messenger,{2}{U},3.0,Creature — Faerie Noble,"Flying
Whenever you attack with one or more Faeries, draw a card, then discard a card. When you discard a card this way, put a +1/+1 counter on target Faerie you control.",U,U,rare,WOE,Wilds of Eldraine,73,1,3,,,Flying,draw;flying;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Talion, the Kindly Lord",{2}{U}{B},4.0,Legendary Creature — Faerie Noble,"Flying
As Talion enters, choose a number between 1 and 10.
Whenever an opponent casts a spell with mana value, power, or toughness equal to the chosen number, that player loses 2 life and you draw a card.","B,U","B,U",mythic,PWOE,Wilds of Eldraine Promos,215s,3,4,,,Flying,draw;flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Tam, Mindful First-Year",{1}{G/U},2.0,Legendary Creature — Gorgon Wizard,"Each other creature you control has hexproof from each of its colors.
{T}: Target creature you control becomes all colors until end of turn.","G,U","G,U",rare,PECL,Lorwyn Eclipsed Promos,245p,2,2,,,,protection;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Tam, Observant Sequencer // Deep Sight",{2}{G}{U} // {G}{U},4.0,Legendary Creature — Gorgon Wizard // Sorcery,,"G,U","G,U",uncommon,SOS,Secrets of Strixhaven,237,4,3,,,Prepared;Landfall,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Tangled Colony,{1}{B},2.0,Creature — Rat,"This creature can't block.
When this creature dies, create X 1/1 black Rat creature tokens with ""This token can't block,"" where X is the amount of damage dealt to it this turn.",B,B,rare,PWOE,Wilds of Eldraine Promos,113s,3,2,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Tanglespan Lookout,{2}{G},3.0,Creature — Satyr,"Whenever an Aura you control enters, draw a card.",G,G,uncommon,WOE,Wilds of Eldraine,188,2,3,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Tannuk, Memorial Ensign",{1}{R}{G},3.0,Legendary Creature — Kavu Pilot,"Landfall — Whenever a land you control enters, Tannuk deals 1 damage to each opponent. If this is the second time this ability has resolved this turn, draw a card.","G,R","G,R",uncommon,EOE,Edge of Eternities,233,2,4,,,Landfall,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Tannuk, Steadfast Second",{2}{R}{R},4.0,Legendary Creature — Kavu Pilot,"Other creatures you control have haste.
Artifact cards and red creature cards in your hand have warp {2}{R}. (You may cast a card from your hand for its warp cost. Exile that permanent at the beginning of the next end step, then you may cast it from exile on a later turn.)",R,R,mythic,EOE,Edge of Eternities,162,3,5,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Tanufel Rimespeaker,{3}{U},4.0,Creature — Elemental Wizard,"Whenever you cast a spell with mana value 4 or greater, draw a card.",U,U,uncommon,ECL,Lorwyn Eclipsed,77,2,4,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Tapestry Warden,{3}{G},4.0,Artifact Creature — Robot Soldier,"Vigilance
Each creature you control with toughness greater than its power assigns combat damage equal to its toughness rather than its power.
Each creature you control with toughness greater than its power stations permanents using its toughness rather than its power.",G,G,uncommon,EOE,Edge of Eternities,209,3,4,,,Vigilance,vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Taster of Wares,{2}{B},3.0,Creature — Goblin Warlock,"When this creature enters, target opponent reveals X cards from their hand, where X is the number of Goblins you control. You choose one of those cards. That player exiles it. If an instant or sorcery card is exiled this way, you may cast it for as long as you control this creature, and mana of any type can be spent to cast that spell.",B,B,rare,ECL,Lorwyn Eclipsed,314,3,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Tattered Ratter,{1}{R},2.0,Creature — Human Peasant,"Whenever a Rat you control becomes blocked, it gets +2/+0 until end of turn.",R,R,uncommon,WOE,Wilds of Eldraine,152,2,2,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Tatyova, Benthic Druid",{3}{G}{U},5.0,Legendary Creature — Merfolk Druid,"Landfall — Whenever a land you control enters, you gain 1 life and draw a card.","G,U","G,U",uncommon,DSC,Duskmourn: House of Horror Commander,235,3,3,,,Landfall,draw;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Taurean Mauler,{2}{R},3.0,Creature — Shapeshifter,"Changeling (This card is every creature type.)
Whenever an opponent casts a spell, you may put a +1/+1 counter on this creature.",R,R,rare,ARC,Archenemy,49,2,2,,,Changeling,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
