name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Pacesetter Paragon,{2}{R},3.0,Creature — Human Pilot,Exhaust — {2}{R}: Put a +1/+1 counter on this creature. It gains double strike until end of turn. (Activate each exhaust ability only once.),R,R,uncommon,DFT,Aetherdrift,140,2,3,,,Exhaust,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Pactdoll Terror,{3}{B},4.0,Artifact Creature — Toy,"Whenever this creature or another artifact you control enters, each opponent loses 1 life and you gain 1 life.",B,B,common,DFT,Aetherdrift,99,3,4,,,,lifegain;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Page, Loose Leaf",{2},2.0,Legendary Artifact Creature — Construct,"{T}: Add {C}.
Grandeur — Discard another card named Page, Loose Leaf: Reveal cards from the top of your library until you reveal an instant or sorcery card. Put that card into your hand and the rest on the bottom of your library in a random order.",,,common,SOS,Secrets of Strixhaven,250,0,2,,C,Grandeur,mill;ramp;tribal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Palani's Hatcher,{3}{R}{G},5.0,Creature — Dinosaur,"Other Dinosaurs you control have haste.
When this creature enters, create two 0/1 green Dinosaur Egg creature tokens.
At the beginning of combat on your turn, if you control one or more Eggs, sacrifice an Egg, then create a 3/3 green Dinosaur creature token.","G,R","G,R",rare,PLCI,The Lost Caverns of Ixalan Promos,237p,5,3,,,,token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Panicked Altisaur,{4}{R},5.0,Creature — Dinosaur,"Reach
{T}: This creature deals 2 damage to each opponent.",R,R,common,LCI,The Lost Caverns of Ixalan,159,4,5,,,Reach,reach,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Paradox Surveyor,{G}{G/U}{U},3.0,Creature — Elf Druid,"Reach
When this creature enters, look at the top five cards of your library. You may reveal a land card or a card with {X} in its mana cost from among them and put it into your hand. Put the rest on the bottom of your library in a random order.","G,U","G,U",uncommon,SOS,Secrets of Strixhaven,208,3,3,,,Reach,reach,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Paramecia Coloniex,{1}{B},2.0,Creature — Zombie Worm,"When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
When this creature dies, you may exile it. When you do, put target creature card from your graveyard on top of your library.",B,B,uncommon,TMT,Teenage Mutant Ninja Turtles,70,2,2,,,Mill,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Paranormal Analyst,{1}{U},2.0,Creature — Human Detective,"Whenever you manifest dread, put a card you put into your graveyard this way into your hand.",U,U,uncommon,DSK,Duskmourn: House of Horror,69,1,3,,,Manifest;Manifest dread,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Patched Plaything,{2}{W},3.0,Artifact Creature — Toy,"Double strike
This creature enters with two -1/-1 counters on it if you cast it from your hand.",W,W,uncommon,DSK,Duskmourn: House of Horror,24,4,3,,,Double strike,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Patchwork Beastie,{G},1.0,Artifact Creature — Beast,"Delirium — This creature can't attack or block unless there are four or more card types among cards in your graveyard.
At the beginning of your upkeep, you may mill a card. (You may put the top card of your library into your graveyard.)",G,G,uncommon,DSK,Duskmourn: House of Horror,195,3,3,,,Delirium;Mill,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
