name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Early Winter,{4}{B},5.0,Instant,"Choose one —
• Exile target creature.
• Target opponent exiles an enchantment they control.",B,B,common,BLB,Bloomburrow,93,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Eerie Interference,{2}{W},3.0,Instant,Prevent all damage that would be dealt to you and creatures you control this turn by creatures.,W,W,uncommon,WOE,Wilds of Eldraine,12,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Efflorescence,{2}{G},3.0,Instant,"Put two +1/+1 counters on target creature.
Infusion — If you gained life this turn, that creature also gains trample and indestructible until end of turn.",G,G,common,SOS,Secrets of Strixhaven,144,,,,,Infusion,lifegain;protection;pump,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Eject,{3}{U},4.0,Instant,"This spell can't be countered.
Return target nonland permanent to its owner's hand.
Draw a card.",U,U,uncommon,FIN,Final Fantasy,52,,,,,,bounce;draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Elemental Teachings,{4}{G},5.0,Instant — Lesson,"Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest onto the battlefield tapped, then shuffle.",G,G,rare,PTLA,Avatar: The Last Airbender Promos,178s,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Eliminate the Impossible,{1}{U},2.0,Instant,"Investigate. Creatures your opponents control get -2/-0 until end of turn. If any of them are suspected, they're no longer suspected. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",U,U,uncommon,MKM,Murders at Karlov Manor,54,,,,,Investigate,draw;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Elspeth's Smite,{W},1.0,Instant,"Elspeth's Smite deals 3 damage to target attacking or blocking creature. If that creature would die this turn, exile it instead.",W,W,uncommon,PLST,The List,MOM-13,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Embrace the Paradox,{3}{G}{U},5.0,Instant,Draw three cards. You may put a land card from your hand onto the battlefield tapped.,"G,U","G,U",common,SOS,Secrets of Strixhaven,186,,,,,,draw,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Emergency Eject,{2}{W},3.0,Instant,"Destroy target nonland permanent. Its controller creates a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",W,W,uncommon,EOE,Edge of Eternities,14,,,,,,ramp;removal;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
End-Blaze Epiphany,{X}{R},1.0,Instant,"End-Blaze Epiphany deals X damage to target creature. When that creature dies this turn, exile a number of cards from the top of your library equal to its power, then choose a card exiled this way. Until the end of your next turn, you may play that card.",R,R,rare,ECL,Lorwyn Eclipsed,134,,,,,,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Energybending,{2},2.0,Instant — Lesson,"Lands you control gain all basic land types until end of turn.
Draw a card.",,,uncommon,TLA,Avatar: The Last Airbender,2,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Enter the Avatar State,{W},1.0,Instant — Lesson,"Until end of turn, target creature you control becomes an Avatar in addition to its other types and gains flying, first strike, lifelink, and hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)",W,W,uncommon,TLA,Avatar: The Last Airbender,18,,,,,Lifelink;First strike,lifegain;protection;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Erode,{W},1.0,Instant,"Destroy target creature or planeswalker. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.",W,W,rare,SOS,Secrets of Strixhaven,15,,,,,,removal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Essence Scatter,{1}{U},2.0,Instant,Counter target creature spell.,U,U,common,DDT,Duel Decks: Merfolk vs. Goblins,6,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel,predh"
Explosive Derailment,{R},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {2} — Explosive Derailment deals 4 damage to target creature.
+ {2} — Destroy target artifact.",R,R,common,OTJ,Outlaws of Thunder Junction,122,,,,,Spree,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Expose the Culprit,{1}{R},2.0,Instant,"Choose one or both —
• Turn target face-down creature face up.
• Exile any number of face-up creatures you control with disguise in a face-down pile, shuffle that pile, then cloak them. (To cloak a card, put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.)",R,R,uncommon,MKM,Murders at Karlov Manor,124,,,,,Cloak,protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
