name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Cackling Prowler,{3}{G},4.0,Creature — Hyena Rogue,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Morbid — At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature.",G,G,common,FDN,Foundations,101,4,3,,,Ward;Morbid,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Cackling Slasher,{3}{B},4.0,Creature — Human Assassin,"Deathtouch
This creature enters with a +1/+1 counter on it if a creature died this turn.",B,B,common,DSK,Duskmourn: House of Horror,85,3,3,,,Deathtouch,deathtouch;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Cactarantula,{4}{G}{G},6.0,Creature — Plant Spider,"This spell costs {1} less to cast if you control a Desert.
Reach
Whenever this creature becomes the target of a spell or ability an opponent controls, you may draw a card.",G,G,common,OTJ,Outlaws of Thunder Junction,158,6,5,,,Reach,draw;reach,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Cactuar,{G},1.0,Creature — Plant,"Trample
At the beginning of your end step, if this creature didn't enter the battlefield this turn, return it to its owner's hand.",G,G,uncommon,FIN,Final Fantasy,177,3,3,,,Trample,trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Cactusfolk Sureshot,{2}{R}{G},4.0,Creature — Plant Mercenary,"Reach
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
At the beginning of combat on your turn, other creatures you control with power 4 or greater gain trample and haste until end of turn.","G,R","G,R",uncommon,OTJ,Outlaws of Thunder Junction,199,4,4,,,Reach;Ward,protection;reach;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Caelorna, Coral Tyrant",{1}{U},2.0,Legendary Creature — Octopus,,U,U,uncommon,DFT,Aetherdrift,40,0,8,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Calamity, Galloping Inferno",{4}{R}{R},6.0,Legendary Creature — Horse Mount,"Haste
Whenever Calamity attacks while saddled, choose a nonlegendary creature that saddled it this turn and create a tapped and attacking token that's a copy of it. Sacrifice that token at the beginning of the next end step. Repeat this process once.
Saddle 1",R,R,rare,OTJ,Outlaws of Thunder Junction,330,4,6,,,Saddle;Haste,haste;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Callous Inspector,{B},1.0,Creature — Human Soldier,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature dies, it deals 1 damage to you. Create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",B,B,common,TLA,Avatar: The Last Airbender,89,1,1,,,Menace,draw;menace;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Callous Sell-Sword // Burn Together,{1}{B} // {R},2.0,Creature — Human Soldier // Sorcery — Adventure,,B,"B,R",uncommon,WOE,Wilds of Eldraine,221,2,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Camellia, the Seedmiser",{1}{B}{G},3.0,Legendary Creature — Squirrel Warlock,"Menace
Other Squirrels you control have menace.
Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token.
{2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)","B,G","B,G",rare,BLB,Bloomburrow,207,3,3,,,Forage;Menace,menace;pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
