name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Last Gasp,{1}{B},2.0,Instant,Target creature gets -3/-3 until end of turn.,B,B,common,JMP,Jumpstart,247,,,,,,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel,predh"
Laughing Mad,{2}{R},3.0,Instant,"As an additional cost to cast this spell, discard a card.
Draw two cards.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",R,R,common,FIN,Final Fantasy,585,,,,,Flashback,draw;flash,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Leaping Ambush,{G},1.0,Instant,Target creature gets +1/+3 and gains reach until end of turn. Untap it.,G,G,common,WOE,Wilds of Eldraine,177,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Light of Judgment,{4}{R},5.0,Instant,Light of Judgment deals 6 damage to target creature. Destroy up to one Equipment attached to that creature.,R,R,common,FIN,Final Fantasy,144,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Lightfoot Technique,{1}{W},2.0,Instant,"Put a +1/+1 counter on target creature. It gains flying and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,W,common,TDM,Tarkir: Dragonstorm,14,,,,,,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,RAV,Ravnica: City of Guilds,213,,,,,,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel,predh"
Lightning Strike,{1}{R},2.0,Instant,Lightning Strike deals 3 damage to any target.,R,R,uncommon,M19,Core Set 2019,152,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Lightshield Parry,{W},1.0,Instant,"Target creature gets +2/+2 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",W,W,common,DFT,Aetherdrift,19,,,,,Cycling,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Lindblum, Industrial Regency // Mage Siege",{2}{R},0.0,Land — Town // Instant — Adventure,,,R,rare,PFIN,Final Fantasy Promos,285s,,,,R,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lithobraking,{2}{R},3.0,Instant,"Create a Lander token. Then you may sacrifice an artifact. When you do, Lithobraking deals 2 damage to each creature. (A Lander token is an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",R,R,uncommon,EOE,Edge of Eternities,142,,,,,,ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Live or Die,{3}{B}{B},5.0,Instant,"Choose one —
• Return target creature card from your graveyard to the battlefield.
• Destroy target creature.",B,B,uncommon,DSK,Duskmourn: House of Horror,107,,,,,,bounce;reanimation;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Locust Spray,{B},1.0,Instant,"Target creature gets -1/-1 until end of turn.
Cycling {B} ({B}, Discard this card: Draw a card.)",B,B,uncommon,DFT,Aetherdrift,95,,,,,Cycling,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Long Goodbye,{1}{B},2.0,Instant,"This spell can't be countered. (This includes by the ward ability.)
Destroy target creature or planeswalker with mana value 3 or less.",B,B,uncommon,MKM,Murders at Karlov Manor,423,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Long River's Pull,{U}{U},2.0,Instant,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Counter target creature spell. If the gift was promised, instead counter target spell.",U,U,uncommon,BLB,Bloomburrow,58,,,,,Gift,counter;draw;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lorehold Charm,{R}{W},2.0,Instant,"Choose one —
• Each opponent sacrifices a nontoken artifact of their choice.
• Return target artifact or creature card with mana value 2 or less from your graveyard to the battlefield.
• Creatures you control get +1/+1 and gain trample until end of turn.","R,W","R,W",uncommon,SOS,Secrets of Strixhaven,200,,,,,,bounce;token;tribal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lost Days,{4}{U},5.0,Instant — Lesson,"The owner of target creature or enchantment puts it into their library second from the top or on the bottom. You create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",U,U,common,TLA,Avatar: The Last Airbender,62,,,,,,draw;mill;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Lost in Space,{3}{U},4.0,Instant,Target artifact or creature's owner puts it on their choice of the top or bottom of their library. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),U,U,common,EOE,Edge of Eternities,62,,,,,Surveil,surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Louisoix's Sacrifice,{U},1.0,Instant,"As an additional cost to cast this spell, sacrifice a legendary creature or pay {2}.
Counter target activated ability, triggered ability, or noncreature spell.",U,U,rare,FIN,Final Fantasy,59,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lumaret's Favor,{1}{G},2.0,Instant,"Infusion — When you cast this spell, copy it if you gained life this turn. You may choose new targets for the copy.
Target creature gets +2/+4 until end of turn.",G,G,uncommon,SOS,Secrets of Strixhaven,153,,,,,Infusion,lifegain;pump,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Luminous Rebuke,{4}{W},5.0,Instant,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",W,W,common,FDN,Foundations,20,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
