name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
"Uchbenbak, the Great Mistake",{3}{U}{B},5.0,Legendary Creature — Skeleton Horror,"Vigilance, menace
Descend 8 — {4}{U}{B}: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only if there are eight or more permanent cards in your graveyard and only as a sorcery. (If a creature with a finality counter on it would die, exile it instead.)","B,U","B,U",uncommon,LCI,The Lost Caverns of Ixalan,242,6,4,,,Vigilance;Descend;Menace,menace;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Ulna Alley Shopkeep,{2}{B},3.0,Creature — Goblin Warlock,"Menace (This creature can't be blocked except by two or more creatures.)
Infusion — This creature gets +2/+0 as long as you gained life this turn.",B,B,common,SOS,Secrets of Strixhaven,103,2,3,,,Infusion;Menace,lifegain;menace;pump,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Ultima, Origin of Oblivion",{5},5.0,Legendary Creature — God,"Flying
Whenever Ultima attacks, put a blight counter on target land. For as long as that land has a blight counter on it, it loses all land types and abilities and has ""{T}: Add {C}.""
Whenever you tap a land for {C}, add an additional {C}.",,,rare,FIN,Final Fantasy,324,4,4,,C,Flying,flying;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Ultimate Green Goblin,{1}{B/R}{B/R},3.0,Legendary Creature — Goblin Villain,"At the beginning of your upkeep, discard a card, then create a Treasure token.
Mayhem {2}{B/R} (You may cast this card from your graveyard for {2}{B/R} if you discarded it this turn. Timing rules still apply.)","B,R","B,R",rare,PW25,Wizards Play Network 2025,12,5,4,,,Mayhem;Treasure,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Ultimecia, Temporal Threat",{4}{U}{U},6.0,Legendary Creature — Human Warlock,"When Ultimecia enters, tap all creatures your opponents control.
Whenever a creature you control deals combat damage to a player, draw a card.",U,U,rare,PMEI,Media and Collaboration Promos,2025-11,4,4,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Ultimecia, Time Sorceress // Ultimecia, Omnipotent",,5.0,Legendary Creature — Human Warlock // Legendary Creature — Nightmare Warlock,,,"B,U",uncommon,FIN,Final Fantasy,247,,,,,Surveil;Transform;Menace;Time Compression,menace,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Ultros, Obnoxious Octopus",{1}{U},2.0,Legendary Creature — Octopus,"Whenever you cast a noncreature spell, if at least four mana was spent to cast it, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Whenever you cast a noncreature spell, if at least eight mana was spent to cast it, put eight +1/+1 counters on Ultros.",U,U,uncommon,FIN,Final Fantasy,83,2,1,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Umbral Collar Zealot,{1}{B},2.0,Creature — Human Cleric,Sacrifice another creature or artifact: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),B,B,uncommon,SOC,Secrets of Strixhaven Commander,227,3,2,,,Surveil,surveil;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Unassuming Sage,{1}{W},2.0,Creature — Human Peasant Wizard,"When this creature enters, you may pay {2}. If you do, create a Sorcerer Role token attached to it. (Enchanted creature gets +1/+1 and has ""Whenever this creature attacks, scry 1."")",W,W,common,WOE,Wilds of Eldraine,37,2,2,,,Role token;Scry,pump;scry;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Unburied Earthcarver,{1}{B},2.0,Creature — Human Warrior,"{2}, Sacrifice another creature: Put a +1/+1 counter on this creature.",B,B,common,TDM,Tarkir: Dragonstorm,95,2,2,,,,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
