name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Ice Magic,{1}{U},2.0,Instant,"Tiered (Choose one additional cost.)
• Blizzard — {0} — Return target creature to its owner's hand.
• Blizzara — {2} — Target creature's owner puts it on their choice of the top or bottom of their library.
• Blizzaga — {5}{U} — Target creature's owner shuffles it into their library.",U,U,common,FIN,Final Fantasy,56,,,,,Blizzard;Blizzara;Blizzaga;Tiered,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Ice Out,{1}{U}{U},3.0,Instant,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
This spell costs {1} less to cast if it's bargained.
Counter target spell.",U,U,rare,PW23,Wizards Play Network 2023,7,,,,,Bargain,counter;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Impossible Inferno,{4}{R},5.0,Instant,"Impossible Inferno deals 6 damage to target creature.
Delirium — If there are four or more card types among cards in your graveyard, exile the top card of your library. You may play it until the end of your next turn.",R,R,common,DSK,Duskmourn: House of Horror,140,,,,,Delirium,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
In the Presence of Ages,{2}{G},3.0,Instant,Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.,G,G,common,LCI,The Lost Caverns of Ixalan,192,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Inevitable Defeat,{1}{R}{W}{B},4.0,Instant,"This spell can't be countered.
Exile target nonland permanent. Its controller loses 3 life and you gain 3 life.","B,R,W","B,R,W",rare,PTDM,Tarkir: Dragonstorm Promos,194s,,,,,,lifegain;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Inspiring Call,{2}{G},3.0,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",G,G,uncommon,IMA,Iconic Masters,169,,,,,,draw;protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Interjection,{W},1.0,Instant,Target creature gets +2/+2 and gains first strike until end of turn.,W,W,common,SOS,Secrets of Strixhaven,22,,,,,,pump,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Into the Flood Maw,{U},1.0,Instant,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Return target creature an opponent controls to its owner's hand. If the gift was promised, instead return target nonland permanent an opponent controls to its owner's hand.",U,U,uncommon,BLB,Bloomburrow,52,,,,,Gift,bounce;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Into the Roil,{1}{U},2.0,Instant,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Return target nonland permanent to its owner's hand. If this spell was kicked, draw a card.",U,U,common,C17,Commander 2017,86,,,,,Kicker,bounce;draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel,predh"
Intrude on the Mind,{3}{U}{U},5.0,Instant,"Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. Create a 0/0 colorless Thopter artifact creature token with flying, then put a +1/+1 counter on it for each card put into your graveyard this way.",U,U,mythic,PMKM,Murders at Karlov Manor Promos,61p,,,,,,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Invasive Maneuvers,{1}{R},2.0,Instant,Invasive Maneuvers deals 3 damage to target creature. It deals 5 damage instead if you control a Spacecraft.,R,R,uncommon,EOE,Edge of Eternities,137,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
It Doesn't Add Up,{3}{B}{B},5.0,Instant,Return target creature card from your graveyard to the battlefield. Suspect it. (It has menace and can't block.),B,B,uncommon,MKM,Murders at Karlov Manor,299,,,,,Suspect,bounce;reanimation,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
It'll Quench Ya!,{1}{U},2.0,Instant — Lesson,Counter target spell unless its controller pays {2}.,U,U,common,TLA,Avatar: The Last Airbender,58,,,,,,counter,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
