name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Zack Fair,{W},1.0,Legendary Creature — Human Soldier,"Zack Fair enters with a +1/+1 counter on it.
{1}, Sacrifice Zack Fair: Target creature you control gains indestructible until end of turn. Put Zack Fair's counters on that creature and attach an Equipment that was attached to Zack Fair to that creature.",W,W,rare,PMEI,Media and Collaboration Promos,2026-03,0,1,,,,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Zaffai and the Tempests,{5}{U}{R},7.0,Legendary Creature — Human Bard Sorcerer,"Once during each of your turns, you may cast an instant or sorcery spell from your hand without paying its mana cost.","R,U","R,U",rare,SOS,Secrets of Strixhaven,360,5,7,,,,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zahur, Glory's Past",{W}{B},2.0,Legendary Creature — Zombie Cat Warrior,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Sacrifice another creature: Surveil 1. Activate only once each turn.
Max speed — Whenever a nontoken creature you control dies, create a tapped 2/2 black Zombie creature token.","B,W","B,W",rare,DFT,Aetherdrift,229,3,2,,,Surveil;Max speed;Start your engines!,surveil;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Zealous Lorecaster,{5}{R},6.0,Creature — Giant Sorcerer,"When this creature enters, return target instant or sorcery card from your graveyard to your hand.",R,R,common,SOS,Secrets of Strixhaven,137,4,4,,,,bounce,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Zell Dincht,{2}{R},3.0,Legendary Creature — Human Monk,"You may play an additional land on each of your turns.
Zell Dincht gets +1/+0 for each land you control.
At the beginning of your end step, return a land you control to its owner's hand.",R,R,rare,FIN,Final Fantasy,170,0,3,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zenos yae Galvus // Shinryu, Transcendent Rival",,5.0,Legendary Creature — Human Noble Warrior // Legendary Creature — Dragon,,,B,rare,FIN,Final Fantasy,455,,,,,Flying;Transform;My First Friend;Burning Chains,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zetalpa, Primal Dawn",{6}{W}{W},8.0,Legendary Creature — Elder Dinosaur,"Flying, double strike, vigilance, trample, indestructible",W,W,rare,GN2,Game Night 2019,15,4,8,,,Flying;Indestructible;Vigilance;Trample;Double strike,flying;protection;trample;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zhao, Ruthless Admiral",{2}{B/R}{B/R},4.0,Legendary Creature — Human Soldier,"Firebending 2 (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
Whenever you sacrifice another permanent, creatures you control get +1/+0 until end of turn.","B,R","B,R",uncommon,TLA,Avatar: The Last Airbender,252,3,4,,R,Firebending,ramp;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zhao, the Moon Slayer",{1}{R},2.0,Legendary Creature — Human Soldier,"Menace
Nonbasic lands enter tapped.
{7}: Put a conqueror counter on Zhao.
As long as Zhao has a conqueror counter on him, nonbasic lands are Mountains. (They lose all other land types and abilities and have ""{T}: Add {R}."")",R,R,rare,PTLA,Avatar: The Last Airbender Promos,162s,2,2,,R,Menace,menace;ramp;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zidane, Tantalus Thief",{3}{R}{W},5.0,Legendary Creature — Human Mutant Scout,"When Zidane enters, gain control of target creature an opponent controls until end of turn. Untap it. It gains lifelink and haste until end of turn.
Whenever an opponent gains control of a permanent from you, you create a Treasure token.","R,W","R,W",uncommon,FIN,Final Fantasy,518,3,3,,,Treasure,lifegain;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zimone, All-Questioning",{1}{G}{U},3.0,Legendary Creature — Human Wizard,"At the beginning of your end step, if a land entered the battlefield under your control this turn and you control a prime number of lands, create Primo, the Indivisible, a legendary 0/0 green and blue Fractal creature token, then put that many +1/+1 counters on it. (2, 3, 5, 7, 11, 13, 17, 19, 23, 29, and 31 are prime numbers.)","G,U","G,U",rare,PDSK,Duskmourn: House of Horror Promos,241p,1,1,,,,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zimone, Paradox Sculptor",{2}{G}{U},4.0,Legendary Creature — Human Wizard,"At the beginning of combat on your turn, put a +1/+1 counter on each of up to two target creatures you control.
{G}{U}, {T}: Double the number of each kind of counter on up to two target creatures and/or artifacts you control.","G,U","G,U",mythic,FDN,Foundations,483,1,4,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zodiark, Umbral God",{B}{B}{B}{B}{B},5.0,Legendary Creature — God,"Indestructible
When Zodiark enters, each player sacrifices half the non-God creatures they control of their choice, rounded down.
Whenever a player sacrifices another creature, put a +1/+1 counter on Zodiark.",B,B,rare,FIN,Final Fantasy,336,5,5,,,Indestructible,protection;pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Zog, Triceraton Castaway",{4}{R},5.0,Legendary Creature — Dinosaur Soldier,"Reach, trample
When Zog enters, target creature can't block this turn.
Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)",R,R,common,TMT,Teenage Mutant Ninja Turtles,111,5,4,,,Mountaincycling;Reach;Landcycling;Trample;Typecycling;Cycling,reach;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Zoo Escapees,{1}{G},2.0,Creature — Boar Rhino,"When this creature leaves the battlefield, create a Mutagen token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery."")",G,G,common,TMT,Teenage Mutant Ninja Turtles,138,2,2,,,,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
