name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Dai Li Indoctrination,{1}{B},2.0,Sorcery — Lesson,"Choose one —
• Target opponent reveals their hand. You choose a nonland permanent card from it. That player discards that card.
• Earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",B,B,common,TLA,Avatar: The Last Airbender,93,,,,,Earthbend,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Dance of the Tumbleweeds,{1}{G},2.0,Sorcery,"Spree (Choose one or more additional costs.)
+ {1} — Search your library for a basic land card or a Desert card, put it onto the battlefield, then shuffle.
+ {3} — Create an X/X green Elemental creature token, where X is the number of lands you control.",G,G,common,OTJ,Outlaws of Thunder Junction,160,,,,,Spree,ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Daring Discovery,{4}{R},5.0,Sorcery,"Up to three target creatures can't block this turn.
Discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",R,R,common,LCI,The Lost Caverns of Ixalan,142,,,,,Discover,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Darkness Descends,{2}{B}{B},4.0,Sorcery,Put two -1/-1 counters on each creature.,B,B,uncommon,ECL,Lorwyn Eclipsed,97,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Day of Black Sun,{X}{B}{B},2.0,Sorcery,Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.,B,B,rare,PTLA,Avatar: The Last Airbender Promos,94s,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,W,W,rare,M11,Magic 2011,12,,,,,,wipe,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
Daydream,{W},1.0,Sorcery,"Exile target creature you control, then return that card to the battlefield under its owner's control with a +1/+1 counter on it.
Flashback {2}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",W,W,uncommon,SOS,Secrets of Strixhaven,9,,,,,Flashback,flash;pump;removal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Deadly Brew,{B}{G},2.0,Sorcery,"Each player sacrifices a creature or planeswalker of their choice. If you sacrificed a permanent this way, you may return another permanent card from your graveyard to your hand.","B,G","B,G",uncommon,SOC,Secrets of Strixhaven Commander,303,,,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Deadly Complication,{1}{B}{R},3.0,Sorcery,"Choose one or both —
• Destroy target creature.
• Put a +1/+1 counter on target suspected creature you control. You may have it become no longer suspected.","B,R","B,R",uncommon,MKM,Murders at Karlov Manor,312,,,,,,pump;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Deadly Cover-Up,{3}{B}{B},5.0,Sorcery,"As an additional cost to cast this spell, you may collect evidence 6.
Destroy all creatures. If evidence was collected, exile a card from an opponent's graveyard. Then search its owner's graveyard, hand, and library for any number of cards with that name and exile them. That player shuffles, then draws a card for each card exiled from their hand this way.",B,B,rare,MKM,Murders at Karlov Manor,399,,,,,Collect evidence,wipe,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
