name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Back for Seconds,{2}{B},3.0,Sorcery,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Return up to two target creature cards from your graveyard to your hand. If this spell was bargained, you may put one of those cards with mana value 4 or less onto the battlefield instead of putting it into your hand.",B,B,uncommon,WOE,Wilds of Eldraine,80,,,,,Bargain,bounce;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Back on Track,{4}{B},5.0,Sorcery,"Return target creature or Vehicle card from your graveyard to the battlefield. Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater.""",B,B,uncommon,DFT,Aetherdrift,76,,,,,,bounce;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Badlands Revival,{3}{B}{G},5.0,Sorcery,Return up to one target creature card from your graveyard to the battlefield. Return up to one target permanent card from your graveyard to your hand.,"B,G","B,G",uncommon,OTJ,Outlaws of Thunder Junction,194,,,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Beastie Beatdown,{R}{G},2.0,Sorcery,"Choose target creature you control and target creature an opponent controls.
Delirium — If there are four or more card types among cards in your graveyard, put two +1/+1 counters on the creature you control.
The creature you control deals damage equal to its power to the creature an opponent controls.","G,R","G,R",uncommon,DSK,Duskmourn: House of Horror,210,,,,,Delirium,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Become Brutes,{1}{R},2.0,Sorcery,"One or two target creatures each gain haste until end of turn. For each of those creatures, create a Monster Role token attached to it. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample.)",R,R,uncommon,WOE,Wilds of Eldraine,317,,,,,Role token,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Behold the Sinister Six!,{6}{B},7.0,Sorcery,Return up to six target creature cards with different names from your graveyard to the battlefield.,B,B,mythic,SPM,Marvel's Spider-Man,51,,,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Beseech the Mirror,{1}{B}{B}{B},4.0,Sorcery,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Search your library for a card, exile it face down, then shuffle. If this spell was bargained, you may cast the exiled card without paying its mana cost if that spell's mana value is 4 or less. Put the exiled card into your hand if it wasn't cast this way.",B,B,mythic,WOE,Wilds of Eldraine,82,,,,,Bargain,token;tutor,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Beyond the Quiet,{3}{W}{W},5.0,Sorcery,Exile all creatures and Spacecraft.,W,W,rare,EOE,Edge of Eternities,303,,,,,,wipe,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Binding Negotiation,{1}{B},2.0,Sorcery,"Target opponent reveals their hand. You may choose a nonland card from it. If you do, they discard it. Otherwise, you may put a face-up exiled card they own into their graveyard.",B,B,uncommon,OTJ,Outlaws of Thunder Junction,78,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Biogenic Upgrade,{4}{G}{G},6.0,Sorcery,"Distribute three +1/+1 counters among one, two, or three target creatures, then double the number of +1/+1 counters on each of those creatures.",G,G,uncommon,J25,Foundations Jumpstart,144,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Bite Down on Crime,{3}{G},4.0,Sorcery,"As an additional cost to cast this spell, you may collect evidence 6. This spell costs {2} less to cast if evidence was collected. (To collect evidence 6, exile cards with total mana value 6 or greater from your graveyard.)
Target creature you control gets +2/+0 until end of turn. It deals damage equal to its power to target creature you don't control.",G,G,common,MKM,Murders at Karlov Manor,154,,,,,Collect evidence,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Blasphemous Edict,{3}{B}{B},5.0,Sorcery,"You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield.
Each player sacrifices thirteen creatures of their choice.",B,B,rare,FDN,Foundations,382,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
