name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Valley Rally,{2}{R},3.0,Instant,"Gift a Food (You may promise an opponent a gift as you cast this spell. If you do, they create a Food token before its other effects. It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Creatures you control get +2/+0 until end of turn. If the gift was promised, target creature you control gains first strike until end of turn.",R,R,uncommon,BLB,Bloomburrow,159,,,,,Gift;Food,lifegain;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,INR,Innistrad Remastered,48,,,,,,protection;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Vanish from Sight,{3}{U},4.0,Instant,Target nonland permanent's owner puts it on their choice of the top or bottom of their library. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),U,U,common,DSK,Duskmourn: House of Horror,82,,,,,Surveil,surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Vayne's Treachery,{1}{B},2.0,Instant,"Kicker—Sacrifice an artifact or creature. (You may sacrifice an artifact or creature in addition to any other costs as you cast this spell.)
Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -6/-6 until end of turn instead.",B,B,common,FIN,Final Fantasy,124,,,,,Kicker,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Vibrant Outburst,{U}{R},2.0,Instant,Vibrant Outburst deals 3 damage to any target. Tap up to one target creature.,"R,U","R,U",uncommon,SOS,Secrets of Strixhaven,240,,,,,,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Vincent's Limit Break,{1}{B},2.0,Instant,"Tiered (Choose one additional cost.)
Until end of turn, target creature you control gains ""When this creature dies, return it to the battlefield tapped under its owner's control"" and has the chosen base power and toughness.
• Galian Beast — {0} — 3/2.
• Death Gigas — {1} — 5/2.
• Hellmasker — {3} — 7/2.",B,B,common,FIN,Final Fantasy,126,,,,,Hellmasker;Death Gigas;Tiered;Galian Beast,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Violent Urge,{R},1.0,Instant,"Target creature gets +1/+0 and gains first strike until end of turn.
Delirium — If there are four or more card types among cards in your graveyard, that creature gains double strike until end of turn.",R,R,uncommon,DSK,Duskmourn: House of Horror,164,,,,,Delirium,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Virtue of Courage // Embereth Blaze,{3}{R}{R} // {1}{R},5.0,Enchantment // Instant — Adventure,,R,R,mythic,PWOE,Wilds of Eldraine Promos,157s,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Virtue of Knowledge // Vantress Visions,{4}{U} // {1}{U},5.0,Enchantment // Instant — Adventure,,U,U,mythic,PWOE,Wilds of Eldraine Promos,76p,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Virtue of Loyalty // Ardenvale Fealty,{3}{W}{W} // {1}{W},5.0,Enchantment // Instant — Adventure,,W,W,mythic,PWOE,Wilds of Eldraine Promos,38s,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
