name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Naga Fleshcrafter,{3}{U},4.0,Creature — Snake Shapeshifter,"You may have this creature enter as a copy of any creature on the battlefield.
Renew — {2}{U}, Exile this card from your graveyard: Put a +1/+1 counter on target nonlegendary creature you control. Each other creature you control becomes a copy of that creature until end of turn. Activate only as a sorcery.",U,U,rare,TDM,Tarkir: Dragonstorm,52,0,0,,,Renew,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Namazu Trader,{3}{B},4.0,Creature — Fish Citizen,"When this creature enters, you lose 1 life and create a Treasure token.
Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",B,B,common,FIN,Final Fantasy,107,3,4,,,Surveil;Treasure,surveil;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Nanoform Sentinel,{2}{U},3.0,Artifact Creature — Robot,"Whenever this creature becomes tapped, untap another target permanent. This ability triggers only once each turn.",U,U,common,EOE,Edge of Eternities,71,3,2,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Narset, Jeskai Waymaster",{U}{R}{W},3.0,Legendary Creature — Human Monk,"At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.","R,U,W","R,U,W",rare,PTDM,Tarkir: Dragonstorm Promos,209s,3,4,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Nashi, Searcher in the Dark",{U}{B},2.0,Legendary Creature — Rat Ninja Wizard,"Menace
Whenever Nashi deals combat damage to a player, you mill that many cards. You may put any number of legendary and/or enchantment cards from among them into your hand. If you put no cards into your hand this way, put a +1/+1 counter on Nashi.","B,U","B,U",rare,DSK,Duskmourn: House of Horror,223,2,2,,,Menace;Mill,menace;mill;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Nebula Dragon,{6}{R},7.0,Creature — Dragon,"Flying
When this creature enters, it deals 3 damage to any target.",R,R,common,EOE,Edge of Eternities,147,4,4,,,Flying,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Needletooth Pack,{3}{G}{G},5.0,Creature — Dinosaur,"Morbid — At the beginning of your end step, if a creature died this turn, put two +1/+1 counters on target creature you control.",G,G,uncommon,FDN,Foundations,108,4,5,,,Morbid,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Neighborhood Guardian,{1}{W},2.0,Creature — Unicorn,"Whenever another creature you control with power 2 or less enters, target creature you control gets +1/+1 until end of turn.",W,W,uncommon,MKM,Murders at Karlov Manor,26,2,2,,,,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Neriv, Heart of the Storm",{1}{R}{W}{B},4.0,Legendary Creature — Spirit Dragon,"Flying
If a creature you control that entered this turn would deal damage, it deals twice that much damage instead.","B,R,W","B,R,W",mythic,TDM,Tarkir: Dragonstorm,314,4,5,,,Flying,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Nervous Gardener,{1}{G},2.0,Creature — Dryad,"Disguise {G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, search your library for a land card with a basic land type, reveal it, put it into your hand, then shuffle.",G,G,common,MKM,Murders at Karlov Manor,169,2,2,,,Disguise,protection;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Nessian Hornbeetle,{1}{G},2.0,Creature — Insect,"At the beginning of combat on your turn, if you control another creature with power 4 or greater, put a +1/+1 counter on this creature.",G,G,uncommon,FDN,Foundations,229,2,2,,,,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Nesting Bot,{W},1.0,Artifact Creature — Robot,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this creature dies, create a 1/1 colorless Servo artifact creature token.
Max speed — This creature gets +1/+0.",W,W,uncommon,DFT,Aetherdrift,22,1,1,,,Max speed;Start your engines!,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Nettle Guard,{1}{W},2.0,Creature — Mouse Soldier,"Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, it gets +0/+2 until end of turn.
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",W,W,common,BLB,Bloomburrow,23,3,1,,,Valiant,pump;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Neva, Stalked by Nightmares",{2}{W}{B},4.0,Legendary Creature — Human Noble,"Menace
When Neva enters, return target creature or enchantment card from your graveyard to your hand.
Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on Neva, then scry 1.","B,W","B,W",uncommon,WOE,Wilds of Eldraine,209,2,2,,,Menace;Scry,bounce;menace;pump;scry,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
News Helicopter,{3},3.0,Artifact Creature — Construct,"Flying
When this creature enters, create a 1/1 green and white Human Citizen creature token.",,,common,SPM,Marvel's Spider-Man,169,1,1,,,Flying,flying;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Nezumi Linkbreaker,{B},1.0,Creature — Rat Warlock,"When this creature dies, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",B,B,common,OTJ,Outlaws of Thunder Junction,96,1,1,,,,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
"Nicanzil, Current Conductor",{G}{U},2.0,Legendary Creature — Merfolk Scout,"Whenever a creature you control explores a land card, you may put a land card from your hand onto the battlefield tapped.
Whenever a creature you control explores a nonland card, put a +1/+1 counter on Nicanzil.","G,U","G,U",uncommon,LCI,The Lost Caverns of Ixalan,236,2,3,,,Explore,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Nightblade Brigade,{2}{B},3.0,Creature — Goblin Soldier,"Deathtouch
Mobilize 1 (Whenever this creature attacks, create a tapped and attacking 1/1 red Warrior creature token. Sacrifice it at the beginning of the next end step.)
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",B,B,common,TDM,Tarkir: Dragonstorm,85,1,3,,,Surveil;Mobilize;Deathtouch,deathtouch;surveil;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Nightdrinker Moroii,{3}{B},4.0,Creature — Vampire,"Flying
When this creature enters, you lose 3 life.
Disguise {B}{B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",B,B,uncommon,MKM,Murders at Karlov Manor,96,4,2,,,Flying;Disguise,flying;protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Nightmare Sower,{3}{B},4.0,Creature — Faerie Assassin,"Flying, lifelink
Whenever you cast a spell during an opponent's turn, put a -1/-1 counter on up to one target creature.",B,B,uncommon,ECL,Lorwyn Eclipsed,114,2,3,,,Flying;Lifelink,flying;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Nightwhorl Hermit,{2}{U},3.0,Creature — Rat Rogue,"Vigilance
Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+0 and can't be blocked.",U,U,common,BLB,Bloomburrow,62,1,4,,,Vigilance;Threshold,pump;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Niko, Light of Hope",{2}{W}{U},4.0,Legendary Creature — Human Wizard,"When Niko enters, create two Shard tokens. (They're enchantments with ""{2}, Sacrifice this token: Scry 1, then draw a card."")
{2}, {T}: Exile target nonlegendary creature you control. Shards you control become copies of it until the next end step. Return it to the battlefield under its owner's control at the beginning of the next end step.","U,W","U,W",mythic,PDSK,Duskmourn: House of Horror Promos,224s,3,4,,,Scry,draw;removal;scry;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Nimble Brigand,{2}{U},3.0,Creature — Human Rogue,"This creature can't be blocked if you've committed a crime this turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
Whenever this creature deals combat damage to a player, draw a card.",U,U,uncommon,OTJ,Outlaws of Thunder Junction,58,1,3,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Nimble Thopterist,{3}{U},4.0,Creature — Vedalken Artificer,"When this creature enters, create a 1/1 colorless Thopter artifact creature token with flying.",U,U,common,DFT,Aetherdrift,53,3,2,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Nine-Lives Familiar,{1}{B}{B},3.0,Creature — Cat,"This creature enters with eight revival counters on it if you cast it.
When this creature dies, if it had a revival counter on it, return it to the battlefield with one fewer revival counter on it at the beginning of the next end step.",B,B,rare,PFDN,Foundations Promos,66s,1,1,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Nita, Forum Conciliator",{1}{W}{B},3.0,Legendary Creature — Human Advisor,"Whenever you cast a spell you don't own, put a +1/+1 counter on each creature you control.
{2}, Sacrifice another creature: Exile target instant or sorcery card from an opponent's graveyard. You may cast it this turn, and mana of any type can be spent to cast that spell. If that spell would be put into a graveyard, exile it instead. Activate only as a sorcery.","B,W","B,W",rare,SOS,Secrets of Strixhaven,354,2,3,,,,pump;removal;tribal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Niv-Mizzet, Guildpact",{W}{U}{B}{R}{G},5.0,Legendary Creature — Dragon Avatar,"Flying, hexproof from multicolored
Whenever Niv-Mizzet deals combat damage to a player, it deals X damage to any target, target player draws X cards, and you gain X life, where X is the number of different color pairs among permanents you control that are exactly two colors.","B,G,R,U,W","B,G,R,U,W",rare,MKM,Murders at Karlov Manor,368,6,6,,,Flying;Hexproof from;Hexproof,flying;lifegain;protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Niv-Mizzet, Visionary",{4}{U}{R},6.0,Legendary Creature — Dragon Wizard,"Flying
You have no maximum hand size.
Whenever a source you control deals noncombat damage to an opponent, you draw that many cards.","R,U","R,U",mythic,PFDN,Foundations Promos,123p,5,5,,,Flying,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Nobody,{1}{U/R}{U/R},3.0,Artifact Creature — Human Hero,"When this creature enters, return up to one other target artifact you control to its owner's hand. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)","R,U","R,U",common,TMT,Teenage Mutant Ninja Turtles,161,3,2,,,Scry,bounce;scry;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Noctis, Prince of Lucis",{1}{W}{U}{B},4.0,Legendary Creature — Human Noble,"Lifelink
You may cast artifact spells from your graveyard by paying 3 life in addition to paying their other costs. If you cast a spell this way, that artifact enters with a finality counter on it.","B,U,W","B,U,W",rare,FIN,Final Fantasy,235,4,3,,,Lifelink,lifegain;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Noggle Robber,{1}{R/G}{R/G},3.0,Creature — Noggle Rogue,"When this creature enters or dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","G,R","G,R",uncommon,ECL,Lorwyn Eclipsed,237,3,3,,"B,G,R,U,W",Treasure,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
