name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Dark Endurance,{1}{B},2.0,Instant,"This spell costs {1} less to cast if it targets a blocking creature.
Target creature gets +2/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",B,B,common,EOE,Edge of Eternities,93,,,,,,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Dawn's Truce,{1}{W},2.0,Instant,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
You and permanents you control gain hexproof until end of turn. If the gift was promised, permanents you control also gain indestructible until end of turn.",W,W,rare,BLB,Bloomburrow,295,,,,,Gift,draw;protection;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Dazzling Denial,{1}{U},2.0,Instant,"Counter target spell unless its controller pays {2}. If you control a Bird, counter that spell unless its controller pays {4} instead.",U,U,common,BLB,Bloomburrow,45,,,,,,counter,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Deadly Plot,{3}{B},4.0,Instant,"Choose one —
• Destroy target creature or planeswalker.
• Return target Zombie creature card from your graveyard to the battlefield tapped.",B,B,uncommon,J22,Jumpstart 2022,22,,,,,,bounce;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Deadly Riposte,{1}{W},2.0,Instant,Deadly Riposte deals 3 damage to target tapped creature and you gain 2 life.,W,W,common,BRO,The Brothers' War,5,,,,,,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Death in the Family,{1}{B},2.0,Instant,Exile target creature with mana value 3 or less.,B,B,uncommon,TMT,Teenage Mutant Ninja Turtles,61,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Deduce,{1}{U},2.0,Instant,"Draw a card. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",U,U,uncommon,SOA,Secrets of Strixhaven Mystical Archive,146,,,,,Investigate,draw;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Defend the Rider,{G},1.0,Instant,"Choose one —
• Target permanent you control gains hexproof and indestructible until end of turn.
• Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater.""",G,G,uncommon,DFT,Aetherdrift,157,,,,,,protection;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Demand Answers,{1}{R},2.0,Instant,"As an additional cost to cast this spell, sacrifice an artifact or discard a card.
Draw two cards.",R,R,common,MKM,Murders at Karlov Manor,306,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Depressurize,{1}{B},2.0,Instant,"Target creature gets -3/-0 until end of turn. Then if that creature's power is 0 or less, destroy it.",B,B,common,EOE,Edge of Eternities,95,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
