name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Badgermole,{4}{G},5.0,Creature — Badger Mole,"When this creature enters, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
Creatures you control with +1/+1 counters on them have trample.",G,G,common,TLA,Avatar: The Last Airbender,166,4,4,,,Earthbend,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Badgermole Cub,{1}{G},2.0,Creature — Badger Mole,"When this creature enters, earthbend 1. (Target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever you tap a creature for mana, add an additional {G}.",G,G,mythic,TLA,Avatar: The Last Airbender,167,2,2,,G,Earthbend,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Bakersbane Duo,{1}{G},2.0,Creature — Squirrel Raccoon,"When this creature enters, create a Food token.
Whenever you expend 4, this creature gets +1/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",G,G,common,BLB,Bloomburrow,163,2,2,,,Food,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Balamb T-Rexaur,{4}{G}{G},6.0,Creature — Dinosaur,"Trample
When this creature enters, you gain 3 life.
Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)",G,G,common,FIN,Final Fantasy,173,6,6,,,Landcycling;Trample;Forestcycling;Typecycling;Cycling,lifegain;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Balemurk Leech,{1}{B},2.0,Creature — Leech,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, each opponent loses 1 life.",B,B,common,DSK,Duskmourn: House of Horror,84,2,2,,,Eerie,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Ball Lightning,{R}{R}{R},3.0,Creature — Elemental,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice this creature.",R,R,rare,WC98,World Championship Decks 1998,br210,6,1,,,Haste;Trample,haste;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,oldschool,premodern,predh"
Ballyrush Banneret,{1}{W},2.0,Creature — Kithkin Soldier,Kithkin spells and Soldier spells you cast cost {1} less to cast.,W,W,common,MOR,Morningtide,1,2,1,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel,predh"
"Balmor, Battlemage Captain",{U}{R},2.0,Legendary Creature — Bird Wizard,"Flying
Whenever you cast an instant or sorcery spell, creatures you control get +1/+0 and gain trample until end of turn.","R,U","R,U",uncommon,DMU,Dominaria United,336,1,3,,,Flying,flying;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Balthier and Fran,{1}{R}{G},3.0,Legendary Creature — Human Rabbit,"Reach
Vehicles you control get +1/+1 and have vigilance and reach.
Whenever a Vehicle crewed by Balthier and Fran this turn attacks, if it's the first combat phase of the turn, you may pay {1}{R}{G}. If you do, after this phase, there is an additional combat phase.","G,R","G,R",rare,FIN,Final Fantasy,319,4,3,,,Reach,reach;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Balustrade Wurm,{3}{G}{G},5.0,Creature — Wurm,"This spell can't be countered.
Trample, haste
Delirium — {2}{G}{G}: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only if there are four or more card types among cards in your graveyard and only as a sorcery.",G,G,rare,PDSK,Duskmourn: House of Horror Promos,168s,5,5,,,Delirium;Haste;Trample,haste;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
