name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Sandbenders' Storm,{3}{W},4.0,Instant,"Choose one —
• Destroy target creature with power 4 or greater.
• Earthbend 3. (Target land you control becomes a 0/0 creature with haste that's still a land. Put three +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",W,W,common,TLA,Avatar: The Last Airbender,34,,,,,Earthbend,pump;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Sarkhan's Resolve,{1}{G},2.0,Instant,"Choose one —
• Target creature gets +3/+3 until end of turn.
• Destroy target creature with flying.",G,G,common,TDM,Tarkir: Dragonstorm,158,,,,,,pump;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Saved by the Shell,{1}{G},2.0,Instant,"This spell costs {1} less to cast if you control a Turtle.
Put a +1/+1 counter on target creature you control. It gains trample, hexproof, and indestructible until end of turn.",G,G,uncommon,TMT,Teenage Mutant Ninja Turtles,132,,,,,,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Savor,{1}{B},2.0,Instant,"Target creature gets -2/-2 until end of turn. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",B,B,common,BLB,Bloomburrow,109,,,,,Food,lifegain;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Sazacap's Brew,{1}{R},2.0,Instant,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
As an additional cost to cast this spell, discard a card.
Target player draws two cards. If the gift was promised, target creature you control gets +2/+0 until end of turn.",R,R,common,BLB,Bloomburrow,151,,,,,Gift,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Scales of Shale,{2}{B},3.0,Instant,"Affinity for Lizards (This spell costs {1} less to cast for each Lizard you control.)
Target creature gets +2/+0 and gains lifelink and indestructible until end of turn.",B,B,common,BLB,Bloomburrow,110,,,,,Affinity,lifegain;protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Scarblade's Malice,{B},1.0,Instant,"Target creature you control gains deathtouch and lifelink until end of turn. When that creature dies this turn, create a 2/2 black and green Elf creature token.",B,B,common,ECL,Lorwyn Eclipsed,119,,,,,,lifegain;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
School Daze,{3}{U}{U},5.0,Instant,"Choose one —
• Do Homework — Draw three cards.
• Fight Crime — Counter target spell. Draw a card.",U,U,uncommon,OM1,Through the Omenpaths,37,,,,,,counter;draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Scorching Dragonfire,{1}{R},2.0,Instant,"Scorching Dragonfire deals 3 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.",R,R,common,ELD,Throne of Eldraine,139,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Scorpion's Sting,{1}{B},2.0,Instant,Target creature gets -3/-3 until end of turn.,B,B,common,SPM,Marvel's Spider-Man,65,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
