name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Valgavoth's Onslaught,{X}{X}{G},1.0,Sorcery,"Manifest dread X times, then put X +1/+1 counters on each of those creatures. (To manifest dread, look at the top two cards of your library, then put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",G,G,rare,DSK,Duskmourn: House of Horror,324,,,,,Manifest;Manifest dread,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Vengeful Possession,{2}{R},3.0,Sorcery,"Gain control of target creature until end of turn. Untap it. It gains haste until end of turn. You may discard a card. If you do, draw a card.",R,R,uncommon,DSK,Duskmourn: House of Horror,162,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Venom's Hunger,{4}{B},5.0,Sorcery,"This spell costs {2} less to cast if you control a Villain.
Destroy target creature. You gain 2 life.",B,B,common,SPM,Marvel's Spider-Man,73,,,,,,lifegain;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Vicious Rivalry,{2}{B}{G},4.0,Sorcery,"As an additional cost to cast this spell, pay X life.
Destroy all artifacts and creatures with mana value X or less.","B,G","B,G",rare,SOS,Secrets of Strixhaven,359,,,,,,wipe,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Villainous Wrath,{3}{B}{B},5.0,Sorcery,Target opponent loses life equal to the number of creatures they control. Then destroy all creatures.,B,B,rare,SPM,Marvel's Spider-Man,259,,,,,,wipe,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Virtue of Persistence // Locthwain Scorn,{5}{B}{B} // {1}{B},7.0,Enchantment // Sorcery — Adventure,,B,B,mythic,PWOE,Wilds of Eldraine Promos,115s,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Virtue of Strength // Garenbrig Growth,{5}{G}{G} // {G},7.0,Enchantment // Sorcery — Adventure,,G,G,mythic,WOE,Wilds of Eldraine,284,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Visionary's Dance,{5}{U}{R},7.0,Sorcery,"Create two 3/3 blue and red Elemental creature tokens with flying.
{2}, Discard this card: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.","R,U","R,U",common,SOS,Secrets of Strixhaven,242,,,,,,token;tribal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Vote Out,{3}{B},4.0,Sorcery,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target creature.",B,B,uncommon,EOE,Edge of Eternities,126,,,,,Convoke,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Voyage Home,{5}{W}{U},7.0,Sorcery,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
You draw three cards and gain 3 life.","U,W","U,W",uncommon,DFT,Aetherdrift,421,,,,,Affinity,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
