name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Pain 101,{1}{B},2.0,Instant,"Until end of turn, target creature gains deathtouch and ""When this creature dies, return it to the battlefield tapped under its owner's control.""",B,B,common,TMT,Teenage Mutant Ninja Turtles,69,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Parting Gust,{W}{W},2.0,Instant,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Exile target nontoken creature. If the gift wasn't promised, return that card to the battlefield under its owner's control with a +1/+1 counter on it at the beginning of the next end step.",W,W,uncommon,BLB,Bloomburrow,24,,,,,Gift,pump;removal;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Pawpatch Formation,{1}{G},2.0,Instant,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.
• Draw a card. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",G,G,uncommon,BLB,Bloomburrow,186,,,,,Food,draw;lifegain;removal;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Pedal to the Metal,{X}{R},1.0,Instant,Target creature gets +X/+0 and gains first strike until end of turn.,R,R,common,DFT,Aetherdrift,141,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Peer Past the Veil,{2}{R}{G},4.0,Instant,"Discard your hand. Then draw X cards, where X is the number of card types among cards in your graveyard.","G,R","G,R",rare,PDSK,Duskmourn: House of Horror Promos,226s,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Peerless Recycling,{1}{G},2.0,Instant,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Return target permanent card from your graveyard to your hand. If the gift was promised, instead return two target permanent cards from your graveyard to your hand.",G,G,uncommon,BLB,Bloomburrow,188,,,,,Gift,bounce;draw;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Personify,{1}{W},2.0,Instant,"Exile target creature you control, then return that card to the battlefield under its owner's control. Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)",W,W,uncommon,ECL,Lorwyn Eclipsed,402,,,,,,removal;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Phantom Interference,{U},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {3} — Create a 2/2 white Spirit creature token with flying.
+ {1} — Counter target spell unless its controller pays {2}.",U,U,common,OTJ,Outlaws of Thunder Junction,61,,,,,Spree,counter;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Piercing Exhale,{1}{G},2.0,Instant,"As an additional cost to cast this spell, you may behold a Dragon. (You may choose a Dragon you control or reveal a Dragon card from your hand.)
Target creature you control deals damage equal to its power to target creature or planeswalker. If a Dragon was beheld, surveil 2.",G,G,common,TDM,Tarkir: Dragonstorm,151,,,,,Surveil;Behold,surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Pillar Launch,{G},1.0,Instant,Target creature gets +2/+2 and gains reach until end of turn. Untap it.,G,G,common,TLA,Avatar: The Last Airbender,189,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
